ward no,ward,0-4,5-11,12-15,16-29,30-44,45-64,65-74,75
1,Linn,1849,2318,1325,5490,5817,8219,2578,1979
2,Newlands/Auldburn,1461,1853,983,4372,4499,6180,2010,1786
3,Greater Pollok,2047,2718,1521,5833,5889,8718,2097,1906
4,Cardonald,1719,2417,1387,5351,5592,8037,2573,2563
5,Gowan,1705,1710,827,6893,6500,6072,1640,1422
6,Pollokshileds,1739,1931,1032,5302,7149,6846,2029,1955
7,Langside,1651,1656,752,5584,8402,7075,2078,1862
8,Southside Central,1935,1674,793,5460,6835,5607,1616,1346
9,Calton,1710,1613,844,8401,6121,5709,1658,1404
10,Anderston/City/Yorkhill,922,738,317,16194,6462,3791,942,818
11,Hillhead,1144,1074,487,11081,5387,4171,1114,953
12,Victoria Park,1071,1257,658,4752,5093,5251,1562,1306
13,Garscadden/Scotstounhill,1825,2319,1279,5613,6644,8127,2341,2417
14,Drumchapel/Anniesland,1819,2434,1287,5780,6290,7544,2228,2050
15,Maryhill,1327,1375,774,5249,4966,5567,1646,1349
16,Canal,1559,1860,1018,5309,5009,6209,2176,1860
17,Springburn/Robroyston,1641,2179,1138,5302,5493,7438,2026,2020
18,East Centre,1676,2112,1166,5159,5381,7401,2457,2639
19,Shettleston,1466,1620,901,4962,4803,7466,2438,2150
20,Bailieston,1176,1527,1030,3989,3831,6668,1988,1454
21,North East,1567,1816,858,4045,4321,5288,1481,1081
22,Dennistoun,1246,1177,585,5927,5360,4106,1273,1187
23,Patrick East/Kelvindale,1091,1206,640,8763,6497,6672,2182,1863
