ward,type,2011,2012,2013,2014,2015,2016,2017,2018
Chiyoda-ku,residential,"1,930","1,909","1,909","1,988","2,113","2,359","2,537","2,619"
Chuo-ku,residential,810,803,857,950,"1,014","1,109","1,159","1,196"
Minato-ku,residential,"1,283","1,270","1,259","1,384","1,475","1,509","1,683","1,781"
Shinjuku-ku,residential,603,605,602,620,640,661,681,709
Bunkyo-ku,residential,672,668,713,746,775,789,822,868
Taito-ku,residential,597,587,688,703,718,740,768,806
Sumida-ku,residential,297,292,341,354,372,368,378,394
Koto-ku,residential,353,348,373,384,392,401,414,431
Shinagawa-ku,residential,596,595,591,629,654,661,720,759
Meguro-ku,residential,697,689,715,775,798,811,844,876
Ota-ku,residential,449,445,445,463,472,478,489,502
Setagaya-ku,residential,516,510,512,527,535,544,566,589
Shibuya-ku,residential,981,964,962,"1,019","1,047","1,054","1,092","1,142"
Nakano-ku,residential,468,465,463,485,497,498,524,544
Suginami-ku,residential,433,429,435,451,460,468,484,500
Toshima-ku,residential,459,458,457,473,485,499,520,548
Kita-ku,residential,390,388,382,409,415,407,434,459
Arakawa-ku,residential,492,486,369,378,383,386,405,430
Itabashi-ku,residential,357,353,348,355,359,365,376,392
Nerima-ku,residential,337,335,335,344,348,352,359,369
Adachi-ku,residential,262,263,255,267,270,264,272,284
Katsushika-ku,residential,276,274,277,285,287,287,293,301
Edogawa-ku,residential,305,301,300,305,309,312,320,332
Chiyoda-ku,commercial,"4,867","4,726","4,700","5,557","5,901","5,940","6,175","6,449"
Chuo-ku,commercial,"5,492","5,351","5,504","6,307","6,922","7,294","8,291","9,010"
Minato-ku,commercial,"3,326","3,195","3,101","3,307","3,522","3,682","3,942","4,201"
Shinjuku-ku,commercial,"3,280","3,220","3,191","3,368","3,542","3,885","4,033","4,405"
Bunkyo-ku,commercial,"1,032","1,009","1,013","1,058","1,102","1,149","1,218","1,296"
Taito-ku,commercial,"1,055","1,022","1,020","1,244","1,278","1,121","1,197","1,291"
Sumida-ku,commercial,570,564,571,585,598,614,637,672
Koto-ku,commercial,596,588,586,602,617,634,698,742
Shinagawa-ku,commercial,"1,125","1,104","1,123","1,239","1,296","1,311","1,373","1,470"
Meguro-ku,commercial,"1,320","1,286","1,232","1,425","1,467","1,398","1,500","1,585"
Ota-ku,commercial,663,654,659,723,740,733,778,807
Setagaya-ku,commercial,739,726,725,737,751,777,816,874
Shibuya-ku,commercial,"3,976","3,814","3,785","3,771","3,986","4,610","5,309","5,945"
Nakano-ku,commercial,862,843,836,855,874,908,951,"1,018"
Suginami-ku,commercial,667,662,661,666,687,719,766,822
Toshima-ku,commercial,"1,415","1,412","1,408","1,530","1,596","1,619","1,738","1,885"
Kita-ku,commercial,671,666,664,681,691,711,743,807
Arakawa-ku,commercial,619,613,612,678,690,650,682,730
Itabashi-ku,commercial,553,544,541,559,567,570,592,624
Nerima-ku,commercial,598,593,592,606,611,626,656,689
Adachi-ku,commercial,439,441,426,459,468,452,474,506
Katsushika-ku,commercial,451,447,413,420,427,434,446,466
Edogawa-ku,commercial,559,549,492,507,516,528,545,572
